maturity,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24
0.08333333333333333,0.020153119539796593,0.02021013753110701,0.020065771546691424,0.020675131458115725,0.021870713323787205,0.022599814886585357,0.023175223911033882,0.024520229139797234,0.025627392804048466,0.025627392804048466,0.025627392804048466,0.025627392804048466,0.025625875394244213,0.025572078478351523,0.025518291387016223,0.0254645139618368,0.025410746042596077,0.025356987467245906,0.025303238071888723,0.02524949769076401,0.025195766156239197,0.02514204329878167,0.02508832894695301,0.025034622927392336,0.02498092506479277
0.16666666666666666,0.020194900352270784,0.020249269218060473,0.020091565187795313,0.020719776699994252,0.02191673051720122,0.022630997363456196,0.02320050530149298,0.02455463897496224,0.025666439046609257,0.025666439046609257,0.025666439046609257,0.025666439046609257,0.025665491183691325,0.025609062444091002,0.0255526398617425,0.025496223337560187,0.02543981277132623,0.025383408061680157,0.02532700910611152,0.025270615800949026,0.02521422804135276,0.02515784572130153,0.02510146873358554,0.02504509696979751,0.02498873032031801
0.25,0.020260000000000167,0.02031000000000005,0.02012999999999998,0.020790000000000086,0.021989999999999732,0.022680000000000256,0.023239999999999927,0.02461000000000002,0.02573000000000003,0.02573000000000003,0.02573000000000003,0.02573000000000003,0.02573000000000003,0.025669166666666854,0.025608333333333455,0.025547499999999834,0.025486666666666657,0.02542583333333326,0.025365000000000082,0.025304166666666683,0.025243333333333284,0.025182499999999886,0.02512166666666671,0.02506083333333331,0.02499999999999991
0.3333333333333333,0.02034536027096112,0.020389500020362883,0.02017943370641473,0.020882447375556,0.0220869549254894,0.022744506326533243,0.02329187035053648,0.02468359309178103,0.025814894730158855,0.025814894730158855,0.025814894730158855,0.025814894730158855,0.02581617124152058,0.0257493929394359,0.02568260640636222,0.02561581177598482,0.025549009183498228,0.025482198765619746,0.025415380660601672,0.025348555008243068,0.025281721949903968,0.02521488162851737,0.02514803418860123,0.02508117977627289,0.025014318539260838
0.4166666666666667,0.020440759975405065,0.02047831160852498,0.020234382445151855,0.020985899083106885,0.022195641710651692,0.022816749791171098,0.02334995162018627,0.02476627434285028,0.025910406676616926,0.025910406676616926,0.025910406676616926,0.025910406676616926,0.025913120786422716,0.02583964200338973,0.025766145807347263,0.02569263248188891,0.025619102313791275,0.025545555593039504,0.025471992612853933,0.02539841366971518,0.0253248190633939,0.025251209096973426,0.025177584076879533,0.0251039443129073,0.025030290118246645
0.5,0.02054079744299986,0.02057143648116,0.020291947770464613,0.02109442550399021,0.022309742127381904,0.022892624577092402,0.023410984451783357,0.024853208909517033,0.02601086892992832,0.02601086892992832,0.02601086892992832,0.02601086892992832,0.02601509313733219,0.02593457334974758,0.02585402661365932,0.025773453369111188,0.025692854061051706,0.025612229139372555,0.025531579058951648,0.02545090427968888,0.025370205266551205,0.025289482489611492,0.025208736424089606,0.02512796755039548,0.02504717635416931
0.5833333333333334,0.0206431615010767,0.02066673593253676,0.02035088902585369,0.021205489677311284,0.022426552900321584,0.02297037340239294,0.02347357361357494,0.02494232751842329,0.02611385623000695,0.02611385623000695,0.02611385623000695,0.02611385623000695,0.02611962514759769,0.026031901322861817,0.025944140929620385,0.02585634456682917,0.025768512840069535,0.025680646361600612,0.025592745750413926,0.02550481163228646,0.025416844639836622,0.025328845412578405,0.025240814596976913,0.02515275284650409,0.02506466082169556
0.6666666666666666,0.020746699812226543,0.02076314351211872,0.020410587198793406,0.021317826767869308,0.022544726227277545,0.023049119632101878,0.023537022889286607,0.025032597912381993,0.026218158835748184,0.026218158835748184,0.026218158835748184,0.026218158835748184,0.02622548819925874,0.026130485749100263,0.026035437170599307,0.025940343222099704,0.025845204670265298,0.025750022290144337,0.025654796865238527,0.025559529187568764,0.025464220057744402,0.02536887028503121,0.025273480687420635,0.025178052091699765,0.02508258533352037
0.75,0.020850775010735623,0.020860069270860482,0.020470699545759086,0.021430737250933918,0.022663516651977522,0.023128377995805582,0.023600946716659577,0.025123448684494232,0.02632310717411901,0.02632310717411901,0.02632310717411901,0.02632310717411901,0.026332002289077616,0.02622969550277343,0.026127333177212275,0.026024916229541617,0.025922445586881393,0.025819922186402833,0.02571734697540773,0.025614720911408817,0.025512044962211267,0.025409320105992617,0.02530654733138782,0.025203727637568507,0.025100862034329152
0.8333333333333334,0.02095500716434895,0.020957161465857244,0.020531021444238906,0.02154380419482571,0.022782479822950785,0.023207858878713017,0.02366511484535838,0.0252145388173457,0.02642830170742627,0.02642830170742627,0.02642830170742627,0.02642830170742627,0.026438761670829036,0.02632915393926316,0.02621948146672759,0.026109745327985934,0.02599994660937832,0.025890086408909774,0.025780165836343905,0.025670186013293295,0.025560148073314304,0.025450053161999886,0.025339902437074624,0.025229697068489543,0.025119438238519365
