maturity,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84,m_85,m_86,m_87,m_88,m_89,m_90,m_91,m_92,m_93,m_94,m_95,m_96
0.08333333333333333,0.02015292153789061,0.020213604363367166,0.02006060303634194,0.020671013495105584,0.02142771387591802,0.022183317530789726,0.022939857843442324,0.023695301628673393,0.02445168183304225,0.025206965708940876,0.025963185765700558,0.026718309693379183,0.027474369564008283,0.02726622710339721,0.027057079800998807,0.026848929063157057,0.026640774191731165,0.026431614408956916,0.02622345124050085,0.02601528392842556,0.0258061116349797,0.025597936005440802,0.025389756221932958,0.02518057138655827,0.024972383264510123,0.024548607737725492,0.024125822697716126,0.023701995524880726,0.02327814249921012,0.022855280148537993,0.022431375481607008,0.022007444964271317,0.021584505310216384,0.021160523156553257,0.020736515154993862,0.020313498205049907,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345,0.019889438572244345
0.16666666666666666,0.020194776723459373,0.02025143384759942,0.02008833814258204,0.020717205398601113,0.021469705147797224,0.02222115666156954,0.02297358032543384,0.02372495583604639,0.02447730337023435,0.025228602833603286,0.025980874194195813,0.026732097566662727,0.027484292710165725,0.02727622745854963,0.02706716017584143,0.026859091503906862,0.02665102112291784,0.026441948680119065,0.026233874866689932,0.026025799338061928,0.025816721716621416,0.025608642743036425,0.02540056204791119,0.025191479228677593,0.024983395075679038,0.024562232665073624,0.024142067902113817,0.023720880765281782,0.02329968125257298,0.02287947948062774,0.02245825525001366,0.022037018647707685,0.021616779879291226,0.021195518567477034,0.020774244888192017,0.02035396913593135,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447,0.019932670755612447
0.25,0.020260000000000167,0.02031000000000005,0.02012999999999998,0.020790000000000086,0.02153600000000022,0.022281000000000217,0.023026999999999687,0.023772000000000126,0.02451800000000004,0.025262999999999813,0.02600899999999995,0.026753999999999944,0.027499999999999858,0.027291999999999872,0.027082999999999968,0.026874999999999982,0.026666999999999996,0.026458000000000093,0.026250000000000107,0.0260419999999999,0.025832999999999995,0.025624999999999787,0.025417000000000023,0.025207999999999675,0.02499999999999991,0.02458300000000002,0.02416700000000005,0.023749999999999938,0.023333000000000048,0.022916999999999854,0.022499999999999964,0.022083000000000297,0.021667000000000325,0.021250000000000213,0.0208330000000001,0.02041700000000013,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018,0.020000000000000018
0.3333333333333333,0.02034551557286668,0.020386576170353887,0.02018376419125323,0.02088589678112962,0.02162340744196478,0.022359965297545692,0.023097543563448397,0.02383416897204116,0.02457181492570193,0.0253085079696882,0.026046221693377003,0.02678298245472588,0.027520764030297684,0.027312818521916693,0.027103874361986025,0.026895931018839914,0.026687988759767522,0.026479047872958406,0.026271107795511783,0.02606316881044357,0.025854231221833945,0.025646294435306194,0.025438358749727108,0.02522942448518828,0.025021491015595698,0.024609997782914173,0.02419950243422786,0.02378803143126129,0.02337657155206796,0.022966109468058216,0.022554671800870896,0.02214324524857436,0.0217328164026791,0.021321412044611465,0.020910018792518414,0.02049962315807452,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866,0.020088252082364866
0.4166666666666667,0.020441042881440774,0.02047204951569559,0.02024353741396001,0.020993184577642765,0.021721241807327152,0.02244839169489965,0.0231765775646533,0.023903856010272673,0.024632170711982537,0.025359577906918895,0.02608802163169366,0.026815557766447062,0.02754413070462558,0.027336233734679416,0.027127339106471693,0.02691944581735739,0.026711554372833124,0.02650266531397083,0.026294777585012863,0.026086891718243077,0.025878008281862375,0.02567012616649378,0.0254622459314664,0.02525336817237367,0.025045491725700142,0.02464016214015685,0.02423582570518157,0.023830538488591957,0.02342527247136994,0.02302099943126179,0.022615775740848054,0.022210573228673702,0.021806363520250116,0.021401203292616966,0.020996064222035038,0.02059191778193381,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434,0.020186820953507434
0.5,0.020541148973139522,0.020561604041729353,0.020306099285577917,0.021105674194516366,0.02182385526152375,0.022541172468791393,0.02325953788070656,0.023977039337889083,0.024695589415018704,0.025413275441515948,0.026132010503120418,0.026849881417294608,0.027568801781597152,0.027360949965514525,0.027152101302579945,0.0269442543534113,0.026736409845153686,0.02652756855204208,0.02631972896444923,0.026111891844997848,0.02590305800392767,0.025695225860583593,0.0254873962134623,0.025278569909219062,0.025070745295364683,0.0246718727850066,0.02427398709640549,0.023875175305686946,0.02347639389334022,0.02307859904862153,0.022679878284380228,0.0222811878626632,0.021883483754626454,0.02148485390932864,0.021086254370630275,0.02068864089184741,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039,0.02029010185773039
0.5833333333333334,0.02064350940189552,0.02065317909338904,0.02037007156706694,0.021220717788731802,0.02192883129620493,0.0226361223906284,0.023344471250432264,0.024051997603025566,0.024760582278281706,0.025468344351001093,0.026177165303616468,0.026885163557211822,0.027594221247887907,0.027386412301387386,0.02717760721182083,0.026969804125977825,0.026762003981460225,0.026553207772627374,0.026345413561662534,0.026137622328948895,0.02592883511234123,0.025721049888354885,0.025513267680692397,0.025304489571259525,0.02509671344981257,0.024704435883691422,0.024313137672615115,0.023920937557766475,0.02352877618887783,0.02313759384423064,0.022745509822031496,0.022353464493397812,0.021962397858498184,0.021570429771809563,0.02117850032621038,0.020787549244135173,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519,0.02039569693557519
0.6666666666666666,0.020746965302594456,0.02074574718177291,0.020434766784097835,0.021336995385481616,0.022034965036255905,0.02273215170040288,0.02343040341366298,0.02412787205839151,0.02482640645074219,0.025524157691270366,0.026222975378036306,0.02692100982831258,0.02762011142355303,0.0274123436120004,0.027203580290658946,0.026995819209741034,0.026788061508793426,0.026579308392598033,0.02637155751418363,0.02616381006228652,0.0259550672917801,0.025747326757169953,0.02553958969706116,0.025330857417118935,0.025123127371948994,0.024737505015915984,0.024352853655130957,0.023967323980843114,0.023581840667966425,0.023197327946957946,0.022811937175580388,0.02242659269536884,0.02204221840407672,0.02165696632496883,0.02127176046670809,0.020887524394848533,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986,0.020502410797146986
0.75,0.02085087577353506,0.020838739945520768,0.020499804442590364,0.02145377708178553,0.02214159003496774,0.02282865745263174,0.023516795174606697,0.024204187300903346,0.024892650569341424,0.025580368180375235,0.026269157771706686,0.02695720164235338,0.02764631833178477,0.027438590225438153,0.027229867192680723,0.027022146601261454,0.026814429785646965,0.02660571815319157,0.026398008963115727,0.026190303604865628,0.025981603541858744,0.025773905923175633,0.02556621219405808,0.02535752387482959,0.025149838002774594,0.024770888163777594,0.024392900216815505,0.024014056882545765,0.023635266820112077,0.023257438177957557,0.022878754442609228,0.02250012389014122,0.022122454286778837,0.021743929883640156,0.02136545857436789,0.020987947743611235,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791,0.02060958240579791
0.8333333333333334,0.020954858836799373,0.020931818541143343,0.020564957517482663,0.021570627937527398,0.022248309000014732,0.02292528006113259,0.023603324832251804,0.024280659571423113,0.024959068994852895,0.025636768354054373,0.02631554337237274,0.026993608292493754,0.02767274984719692,0.027465060198805125,0.02725637616983989,0.02704869475781968,0.02684101748599743,0.026632345957560144,0.02642467705105922,0.026217012350059354,0.026008353519321847,0.02580069731655299,0.025593045386579583,0.025384399456720663,0.025176756161905844,0.024804470507937548,0.02443313700096339,0.024060970347741018,0.02368886321225805,0.023317707687926736,0.022945719337181814,0.022573790396027693,0.022202812530931038,0.021831002158447577,0.021459251087377007,0.021088450558018,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863,0.020716817839491863
