maturity,m_0,m_1,m_2,m_3,m_4,m_5,m_6,m_7,m_8,m_9,m_10,m_11,m_12,m_13,m_14,m_15,m_16,m_17,m_18,m_19,m_20,m_21,m_22,m_23,m_24,m_25,m_26,m_27,m_28,m_29,m_30,m_31,m_32,m_33,m_34,m_35,m_36,m_37,m_38,m_39,m_40,m_41,m_42,m_43,m_44,m_45,m_46,m_47,m_48,m_49,m_50,m_51,m_52,m_53,m_54,m_55,m_56,m_57,m_58,m_59,m_60,m_61,m_62,m_63,m_64,m_65,m_66,m_67,m_68,m_69,m_70,m_71,m_72,m_73,m_74,m_75,m_76,m_77,m_78,m_79,m_80,m_81,m_82,m_83,m_84
0.08333333333333333,0.02016145270689118,0.020222185659611203,0.02006933876974215,0.02067944008509981,0.021435680339990437,0.02219184062612234,0.022947920933309662,0.02370392125146603,0.02445984157060388,0.025215681880840224,0.025971442172391557,0.02672712243556874,0.02748272266078966,0.026040045678494828,0.02459732368960288,0.023154543344369616,0.02171169027399733,0.020268749038086842,0.018825703069556665,0.017382534616930068,0.015939224683827025,0.014495752965574482,0.013052097782751515,0.011608236011558137,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567,0.010164143010838567
0.16666666666666666,0.020200103423461124,0.020256791847933275,0.020093792439324965,0.020722467050128257,0.021474512966899395,0.022226520877393297,0.022978490770438897,0.023730422634920423,0.024482316459773168,0.025234172233988827,0.02598598994661061,0.026737769586733906,0.02748951114351028,0.026041141821429026,0.02459278477093707,0.023144431631141105,0.021696073408804528,0.02024770044594737,0.018799302385881678,0.017350868137629538,0.015902385838632904,0.014453842815678852,0.013005225543958554,0.011556519604162707,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496,0.010107709637527496
0.25,0.020260000000000167,0.02031000000000005,0.02012999999999998,0.020790000000000086,0.02153555555555564,0.022281111111111196,0.02302666666666675,0.023772222222222306,0.02451777777777786,0.025263333333333415,0.026008888888889192,0.026754444444444303,0.027499999999999858,0.02604166666666674,0.02458333333333318,0.023125000000000062,0.021666666666666945,0.020208333333333606,0.018750000000000044,0.017291666666666705,0.015833333333333366,0.014375000000000027,0.012916666666666687,0.011458333333333348,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231,0.010000000000000231
0.3333333333333333,0.020338359115466886,0.020379377741226,0.020176436965107625,0.02087882694784926,0.021615904911755024,0.02235301663661171,0.023090162143179827,0.023827341452167028,0.02456455458422724,0.025301801559963755,0.026039082399926805,0.02677639712461377,0.027513745754472296,0.026041736649659697,0.024569657798797717,0.02309752053530656,0.021625337030024783,0.02015312033354011,0.01868088442053062,0.017208644236214266,0.015736415745004617,0.014264215981482309,0.012792063103787443,0.011319976449557512,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969,0.009847976594520969
0.4166666666666667,0.020425879495367782,0.02045679736059225,0.020228013173981818,0.020978203828731168,0.021705840784845387,0.022433541975496185,0.023161307448823276,0.02388913725286801,0.024617031435573367,0.025344990044786853,0.026073013128258493,0.02680110073364017,0.02752925290849073,0.02604174499086298,0.02455407188245573,0.023066257648190813,0.021578328111895084,0.02009031094457847,0.01860223575688691,0.017114134195935327,0.01562604004672874,0.014137989338391055,0.012650020455432065,0.011162174254293777,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755,0.009674494185436755
0.5,0.02051764552030466,0.020537963303505213,0.020282038223740972,0.02108245236245665,0.021800225430848252,0.022518090541337132,0.023236047774233715,0.02395409720971653,0.0246722389278331,0.025390473008499725,0.026108799531502802,0.02682721857649728,0.027545730223010656,0.02604189942911428,0.02453779882467222,0.02303346576455967,0.0215289403047203,0.020024265336736846,0.018519486728741708,0.017014653472980923,0.015509817840346551,0.014005035542214772,0.012500365899938082,0.010995872022369069,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346,0.009491620991796346
0.5833333333333334,0.020611553836336727,0.02062103735862486,0.020337360451035957,0.02118914304193953,0.02189686036420757,0.022604695187117274,0.023312647626734018,0.024020717798969304,0.024728905819581426,0.025437211804177684,0.02614563586821328,0.02685417812699198,0.02756283869566789,0.026042288638006283,0.024521362062141838,0.023000109812249425,0.02147858636937716,0.01995685003126879,0.018434963100628865,0.016912992082248834,0.01539100788941239,0.013869086060031677,0.012347306982984918,0.010825756135157683,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971,0.009304524329698971
0.6666666666666666,0.020706555605463306,0.02070510275516968,0.020393405197161263,0.02129706453922564,0.021994649232611962,0.022692374736602794,0.02339024120566835,0.024088248794116307,0.024786397656093806,0.025484687945588114,0.026183119816426847,0.026881693422277086,0.027580408916650923,0.026042956647430504,0.024505022606959193,0.022966671148825668,0.02142797117955131,0.019888996381953516,0.018349825448963353,0.01681054232840795,0.015271236479282413,0.013732003140076277,0.01219294360973655,0.010654165541893912,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334,0.009115783252997334
0.75,0.02080207060887118,0.02078965221039164,0.02044985423559198,0.02140554686722229,0.02209298546344285,0.02278058617859746,0.023468349207440342,0.024156274744568274,0.024844362984422386,0.025532614121288155,0.02622102834929696,0.026909605862424968,0.02759834685449758,0.02604392765087038,0.024488924841023607,0.022933416208578805,0.021377484979103967,0.019821220084957014,0.018264716442479623,0.016708075242150677,0.015151404252320644,0.013594818137201647,0.012038438789802486,0.010482395680559753,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125,0.008926826222435125
0.8333333333333334,0.020897752894162736,0.020874383153056453,0.02050651754471633,0.02151419065232374,0.022191507328775728,0.022869005549727373,0.02354668555143724,0.024224547570023347,0.02490259184146515,0.02558081860160466,0.026259228086146447,0.026937820530658296,0.027616596170574548,0.026045215928403698,0.0244731548343029,0.022900503962769214,0.02132736068796981,0.019753828987808753,0.018180019762128685,0.016606051165739988,0.01503204895700172,0.013458146862726617,0.011884486960208385,0.010311220077239058,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468,0.008738506211007468
